objName,stdId,stdFlavor,ra,dec,v,bv,u,g,r,i,z,ue,ge,re,ie,ze
BD+38o4955,640,0,348.41254421085154,39.41608983194445,11.315,0.515,12.353,11.315,10.8,10.58,10.484,0.005,0.001,0.001,0.001,0.002
Feige108,641,1,349.0517325360343,-1.8432187152777777,12.736,-0.237,12.973,12.973,12.973,12.973,12.973,0.0,0.0,0.0,0.0,0.0
LTT9491,642,1,349.8977442843753,-17.0916,14.132,0.021,14.111,14.111,14.111,14.111,14.111,0.0,0.0,0.0,0.0,0.0
BD+33o4737,643,0,353.6529984663224,34.040311834444445,9.412,0.572,11.065,9.412,8.84,8.663,8.601,0.003,0.002,0.002,0.002,0.002
PG2336+004B,644,0,354.6595,0.71318,12.648,0.336,13.749,12.648,12.312,12.212,12.198,0.006,0.003,0.001,0.002,0.005
115_420,645,0,355.65191,1.0993495069444446,11.353,0.29,12.444,11.353,11.063,10.983,10.976,0.004,0.002,0.002,0.001,0.003
115_516,646,0,356.06452596297066,1.2367782458333334,10.914,0.807,13.081,10.914,10.107,9.79,9.618,0.009,0.003,0.002,0.002,0.004
115_451,647,0,356.14688,1.20349,12.571,0.298,13.678,12.571,12.273,12.17,12.169,0.009,0.003,0.006,0.006,0.008
LHS-0550,648,0,357.30688171281395,2.3964724594444444,9.721,1.313,12.356,9.721,8.408,7.504,7.06,0.005,0.005,0.004,0.009,0.005
PG2349+002,649,1,357.97170472350143,0.47143902222222217,13.09,-0.2,13.28,13.28,13.28,13.28,13.28,0.0,0.0,0.0,0.0,0.0
